severity,fault_count,imbalance,vector_id,first_divergence_sa,early_config,group_config,early_pattern,group_pattern,early_release,group_release,early_donor,group_donor,early_ledger_after_divergence,group_ledger_after_divergence,early_failure_position,group_final_success,mechanism,critical_later_resource
HIGH,28,moderate,6444,A,CFG0,CFG4,2,2,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6450,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
HIGH,28,moderate,6464,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6482,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6484,A,CFG0,CFG4,2,2,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6493,A,CFG0,CFG4,2,2,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6499,A,CFG0,CFG4,2,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6501,A,CFG0,CFG4,2,2,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6514,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6516,A,CFG0,CFG4,2,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
HIGH,28,moderate,6524,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6536,A,CFG0,CFG4,4,2,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6537,A,CFG0,CFG4,1,3,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6538,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6541,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6554,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
HIGH,28,moderate,6558,A,CFG0,CFG4,1,2,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6572,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6574,A,CFG0,CFG4,4,2,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6582,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6590,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6591,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6594,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6598,A,CFG0,CFG4,2,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6599,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
HIGH,28,moderate,6619,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6622,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6625,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6627,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6640,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6646,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6648,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
HIGH,28,moderate,6651,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6653,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6659,A,CFG0,CFG4,1,3,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
HIGH,28,moderate,6660,A,CFG0,CFG4,2,2,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6664,A,CFG0,CFG4,1,3,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6667,A,CFG0,CFG4,2,2,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
