policy,G,repairability,N,mean_Lpost,P50_Lpost,P95_Lpost,max_Lpost,zero_latency_fraction,mean_Llast_fault
GROUP_NO_SCRATCH,17,unrepairable,12,3.666667,3.000000,7.000000,7,0.000000,20.666667
GROUP_NO_SCRATCH,18,repairable,9988,2.315178,2.000000,3.000000,5,0.000000,20.315178
GROUP_NO_SCRATCH,18,unrepairable,12,2.666667,2.000000,6.000000,6,0.000000,20.666667
GROUP_NO_SCRATCH,19,repairable,9988,1.315178,1.000000,2.000000,4,0.000000,20.315178
GROUP_NO_SCRATCH,19,unrepairable,12,1.666667,1.000000,5.000000,5,0.000000,20.666667
GROUP_NO_SCRATCH,20,repairable,9988,0.315178,0.000000,1.000000,3,0.721666,20.315178
GROUP_NO_SCRATCH,20,unrepairable,12,0.666667,0.000000,4.000000,4,0.833333,20.666667
GROUP_NO_SCRATCH,21,repairable,9988,0.036844,0.000000,0.000000,2,0.965058,20.315178
GROUP_NO_SCRATCH,21,unrepairable,12,0.500000,0.000000,3.000000,3,0.833333,20.666667
GROUP_NO_SCRATCH,22,repairable,9988,0.001902,0.000000,0.000000,1,0.998098,20.315178
GROUP_NO_SCRATCH,22,unrepairable,12,0.333333,0.000000,2.000000,2,0.833333,20.666667
GROUP_NO_SCRATCH,23,repairable,9988,0.000000,0.000000,0.000000,0,1.000000,20.315178
GROUP_NO_SCRATCH,23,unrepairable,12,0.166667,0.000000,1.000000,1,0.833333,20.666667
GROUP_NO_SCRATCH,24,repairable,9988,0.000000,0.000000,0.000000,0,1.000000,20.315178
GROUP_NO_SCRATCH,24,unrepairable,12,0.000000,0.000000,0.000000,0,1.000000,20.666667
GROUP_NO_SCRATCH,25,repairable,9988,0.000000,0.000000,0.000000,0,1.000000,20.315178
GROUP_NO_SCRATCH,25,unrepairable,12,0.000000,0.000000,0.000000,0,1.000000,20.666667
GROUP_NO_SCRATCH,26,repairable,9988,0.000000,0.000000,0.000000,0,1.000000,20.315178
GROUP_NO_SCRATCH,26,unrepairable,12,0.000000,0.000000,0.000000,0,1.000000,20.666667
GROUP_NO_SCRATCH,27,repairable,9988,0.000000,0.000000,0.000000,0,1.000000,20.315178
GROUP_NO_SCRATCH,27,unrepairable,12,0.000000,0.000000,0.000000,0,1.000000,20.666667
GROUP_NO_SCRATCH,28,repairable,9988,0.000000,0.000000,0.000000,0,1.000000,20.315178
GROUP_NO_SCRATCH,28,unrepairable,12,0.000000,0.000000,0.000000,0,1.000000,20.666667
GROUP_NO_SCRATCH,29,repairable,9988,0.000000,0.000000,0.000000,0,1.000000,20.315178
GROUP_NO_SCRATCH,29,unrepairable,12,0.000000,0.000000,0.000000,0,1.000000,20.666667
GROUP_NO_SCRATCH,30,repairable,9988,0.000000,0.000000,0.000000,0,1.000000,20.315178
GROUP_NO_SCRATCH,30,unrepairable,12,0.000000,0.000000,0.000000,0,1.000000,20.666667
GROUP_NO_SCRATCH,31,repairable,9988,0.000000,0.000000,0.000000,0,1.000000,20.315178
GROUP_NO_SCRATCH,31,unrepairable,12,0.000000,0.000000,0.000000,0,1.000000,20.666667
GROUP_NO_SCRATCH,32,repairable,9988,0.000000,0.000000,0.000000,0,1.000000,20.315178
GROUP_NO_SCRATCH,32,unrepairable,12,0.000000,0.000000,0.000000,0,1.000000,20.666667
